RANK	URL	PAGESPEED	YSLOW	ONLOAD	FULLY LOADED	REQUESTS	TOTAL SIZE
229	http://www.comcast.net/	66%	72%	2.6s	9.9s	159	2.13MB
230	http://www.ioage.com/	94%	84%	2.3s		10	54.5KB
231	http://www.skycn.com/	69%	68%	6.0s	6.8s	120	1.04MB
232	http://www.libero.it/	27%	45%	18.2s	38.0s	673	7.74MB
233	http://www.onet.pl/	52%	58%	4.6s	24.9s	432	3.91MB
234	http://www.rediff.com/	70%	55%	5.4s	7.2s	108	900KB
235	http://www.americanexpress.com/	68%	49%	5.0s	5.0s	131	1.66MB
236	http://www.dailymail.co.uk/	49%	42%	9.4s	28.9s	339	3.05MB
237	http://www.alot.com/	59%	56%	8.5s	8.9s	107	1.56MB
238	http://www.nasza-klasa.pl/	63%	47%	10.5s	28.5s	200	1.10MB
239	http://www.pchome.net/	47%	63%	7.5s	8.3s	161	2.30MB
240	http://www.51job.com/	81%	78%	4.0s	6.6s	68	609KB
241	http://www.okwave.jp/	66%	54%	9.7s	10.6s	130	1.11MB
242	http://www.70yx.com/	62%	61%	5.2s	6.1s	46	1.03MB
243	http://www.rakuten.ne.jp/	100%	62%	5.5s		283	1.97MB
244	http://www.nikkeibp.co.jp/	22%	46%	4.8s	5.1s	133	9.22MB
245	http://www.mlb.com/	55%	48%	7.6s	24.3s	240	3.16MB
246	http://www.huffingtonpost.com/	16%	58%	4.6s	22.1s	569	6.32MB
247	http://www.bestbuy.com/	82%	59%	2.3s	20.2s	66	867KB
248	http://www.freelotto.com/	71%	67%	3.2s	3.2s	60	743KB
249	http://www.yahoo.net/	49%	43%	9.6s	27.0s	307	2.30MB
250	http://www.docstoc.com/	82%	76%	2.0s	2.0s	37	656KB
251	http://www.csdn.net/	42%	62%	8.5s	9.3s	133	3.65MB
252	http://www.digg.com/	72%	53%	3.9s	4.7s	109	1.12MB
253	http://www.macromedia.com/	21%	68%	2.7s	8.6s	194	4.08MB
254	http://www.tumblr.com/	24%	62%	4.3s	9.5s	140	6.05MB
255	http://www.twitpic.com/	97%	93%	1.2s	2.2s	20	653KB
256	http://www.impress.co.jp/	58%	64%	4.5s	4.5s	81	2.95MB
257	http://www.foxsports.com/	52%	51%	7.0s	10.5s	225	3.43MB
258	http://www.wikia.com/	60%	62%	3.3s	5.3s	154	1.65MB
259	http://www.t-online.de/	33%	46%	14.1s	23.9s	305	2.27MB
260	http://www.verizonwireless.com/	68%	54%	5.7s	11.7s	143	2.07MB
261	http://www.justin.tv/	54%	70%	7.1s	7.4s	118	2.67MB
